Pressure,tipX,tipY,tipZ
18126.25250501002,-59.369651907820916,0.3644100043596493,14.450821709180502
18180.360721442885,-59.382072426092634,0.3677430384438424,14.436262846212827
18234.46893787575,-59.39469859848978,0.37105651921300364,14.421587989425339
18288.577154308616,-59.407171183309735,0.3744365381521149,14.406878845719097
18342.68537074148,-59.41984173233387,0.37779608164798784,14.39205920915284
18396.79358717435,-59.432363844614706,0.38122356422392367,14.377199409652905
18450.901803607216,-59.44510160661165,0.38463650394458604,14.362205963772354
18505.01002004008,-59.457709942301236,0.3881234175185098,14.347146475386536
18559.118236472947,-59.4704557611569,0.3915748709593711,14.332040454782522
18613.226452905812,-59.483113268099785,0.39511207227453876,14.316823737821421
18667.334669338677,-59.49589398461208,0.398609725109142,14.301574285440722
18721.442885771543,-59.50858227381903,0.4021928614697899,14.286219586052738
18775.55110220441,-59.5214039369467,0.40573905950516836,14.270818317508612
18829.659318637274,-59.5341224947618,0.4093685487957218,14.255325530571337
18883.76753507014,-59.54697234433925,0.4129609834833845,14.239786050994452
18937.875751503005,-59.559749611141065,0.4166450955032741,14.22411995036945
18991.98396793587,-59.57264408236066,0.42028964557395754,14.208419124331439
19046.09218436874,-59.58548946200857,0.424032795279828,14.192561768778175
19100.200400801605,-59.598408366229336,0.4277244708908894,14.176718074128434
19154.30861723447,-59.61126529609206,0.4315125785569404,14.160734915684099
19208.416833667336,-59.624238925814474,0.43526142270453294,14.144711502810548
19262.5250501002,-59.63710069966572,0.43909174829197095,14.128609646009814
19316.633266533066,-59.65007023260133,0.44288100196362634,14.112477732866319
19370.741482965932,-59.662987679514465,0.44676937151115065,14.096197248377193
19424.849699398797,-59.67599166138553,0.4506114615353622,14.07990613188091
19478.957915831663,-59.68896368287129,0.4545589465620268,14.063440341241108
19533.06613226453,-59.701992295910756,0.4584520722535732,14.046995957022665
19587.174348697394,-59.71504295618056,0.4624676870833973,14.030307112859722
19641.28256513026,-59.728090115635645,0.46641132862899204,14.013707783351396
19695.390781563125,-59.7411225077581,0.47046694834391567,13.996910894433457
19749.498997995994,-59.754180491042305,0.4744579185168762,13.980167278376179
19803.60721442886,-59.76723339190928,0.47856364647865807,13.963214190464017
19857.715430861725,-59.78030463017989,0.48260257065330714,13.946317769616089
19911.82364729459,-59.79345425913491,0.4867815649513533,13.929101695609397
19965.931863727455,-59.80653632298893,0.49086718105366456,13.9120414311463
20020.04008016032,-59.81974322583942,0.4951069998548525,13.894597669413173
20074.148296593186,-59.8328590558058,0.49924308343362994,13.877334427648398
20128.256513026052,-59.84609346131753,0.5035309643671414,13.859688517282077
20182.364729458917,-59.85926075470597,0.5077189727855586,13.842187787012143
20236.472945891783,-59.87244191847152,0.5120225395161548,13.824436360009747
20290.581162324648,-59.88563925742818,0.5162481812963939,13.806723600139197
20344.689378757514,-59.898892230397614,0.5205989127308837,13.78869719810046
